,ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,lat,long,counter
16133,6042J101 092115,6042J,101,5403 TODD AVE,9/21/2015,FRANKFORD,NORTHEASTERN,2,39.33018148,-76.53873282,1
16134,6042N003 041515,6042N,3,4810 FRANKFORD AVE,4/15/2015,FRANKFORD,NORTHEASTERN,2,39.33200858,-76.54407694,1
16135,6042O022 121012,6042O,22,5414 SUMMERFIELD AVE,12/10/2012,FRANKFORD,NORTHEASTERN,2,39.3328857,-76.54325907,1
16136,6290 045 022916,6290,45,144 S HIGHLAND AVE,2/29/2016,PATTERSON PARK NEIGHBORHOOD,SOUTHEASTERN,1,39.29036442,-76.56957375,1
16137,6109 037 091813,6109,37,3573 SHANNON DR,9/18/2013,BELAIR-EDISON,NORTHEASTERN,13,39.32085703,-76.56104603,1
16138,6109 094 072415,6109,94,3588 DUDLEY AVE,7/24/2015,BELAIR-EDISON,NORTHEASTERN,13,39.32017163,-76.56142809,1
16139,6113 004 102612,6113,4,3606 KENYON AVE,10/26/2012,BELAIR-EDISON,NORTHEASTERN,13,39.31954562,-76.56239525,1
16140,6113 018 012016,6113,18,3634 KENYON AVE,1/20/2016,BELAIR-EDISON,NORTHEASTERN,13,39.31900714,-76.56221201,1
16141,6113 085 090215,6113,85,3669 DUDLEY AVE,9/2/2015,BELAIR-EDISON,NORTHEASTERN,13,39.31833706,-76.56144641,1
16142,6115 042 111307,6115,42,3683 KENYON AVE,11/13/2007,BELAIR-EDISON,NORTHEASTERN,13,39.31783029,-76.56248109,1
16143,6121 055 050115,6121,55,4645 SHAMROCK AVE,5/1/2015,PARKSIDE,NORTHEASTERN,2,39.32310967,-76.55735344,1
16144,6122 039 031315,6122,39,4720 CHATFORD AVE,3/13/2015,PARKSIDE,NORTHEASTERN,2,39.3240889,-76.55554912,1
16145,6123 040 051614,6123,40,4779 CHATFORD AVE,5/16/2014,PARKSIDE,NORTHEASTERN,2,39.32387325,-76.55414976,1
16146,6123 052 061813,6123,52,4710 SHAMROCK AVE,6/18/2013,PARKSIDE,NORTHEASTERN,2,39.32327181,-76.55639499,1
16147,6123 090 021116,6123,90,4786 SHAMROCK AVE,2/11/2016,PARKSIDE,NORTHEASTERN,2,39.32359193,-76.55386084,1
16148,6125 039 021216,6125,39,4777 ELISON AVE,2/12/2016,PARKSIDE,NORTHEASTERN,2,39.3224533,-76.55350792,1
16149,6128 015 031815,6128,15,3928 KENYON AVE,3/18/2015,BELAIR-EDISON,NORTHEASTERN,13,39.31675939,-76.56147445,1
16150,6132 068 102303,6132,68,4108 BALFERN AVE,10/23/2003,BELAIR-EDISON,NORTHEASTERN,13,39.31644625,-76.55858671,1
16151,6150 005A 110415,6150,005A,4000 E MONUMENT ST,11/4/2015,ORANGEVILLE INDUSTRIAL AREA,EASTERN,13,39.30014697,-76.56463539,1
16152,7480 006 111213,7480,6,2610 HOLLINS FERRY ROAD,11/12/2013,MOUNT WINANS,SOUTHERN,10,39.26002353,-76.64306005,1
16153,7480 012 022414,7480,12,2618 HOLLINS FERRY ROAD,2/24/2014,MOUNT WINANS,SOUTHERN,10,39.25976322,-76.6431947,1
16154,7481C014 011216,7481C,14,2402 BANGER ST,1/12/2016,LAKELAND,SOUTHERN,10,39.25871882,-76.64829341,1
16155,7481C016 022416,7481C,16,2400 BANGER ST,2/24/2016,LAKELAND,SOUTHERN,10,39.25878368,-76.64844903,1
16156,7481C018 060812,7481C,18,2421 ARBUTON AVE,6/8/2012,LAKELAND,SOUTHERN,10,39.25779757,-76.64727859,1
16157,7489 005 041815,7489,5,2508 BANGER ST,4/18/2015,LAKELAND,SOUTHERN,10,39.25758066,-76.6455621,1
16158,7492B010 031815,7492B,10,2908 HOLLINS FERRY ROAD,3/18/2015,LAKELAND,SOUTHERN,10,39.25546425,-76.646516,1
16159,6156 006 101212,6156,6,3211 MCELDERRY ST,10/12/2012,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29794789,-76.57181077,1
16160,6156 007 052915,6156,7,3213 MCELDERRY ST,5/29/2015,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29794962,-76.57176405,1
16161,6156 021 092613,6156,21,510 N BOULDIN ST,9/26/2013,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29742656,-76.57162995,1
16162,6156 033 042908,6156,33,513 N EAST AVE,4/29/2008,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29747709,-76.57191636,1
16163,6156 040 102413,6156,40,527 N EAST AVE,10/24/2013,ELLWOOD PARK/MONUMENT,SOUTHEASTERN,13,39.29779522,-76.57193591,1
